"book_id","title","author_id","genre","published_year"
1,"Shadows of the Orchard",1,"Fantasy",2000
2,"When Rivers Remember",2,"Science Fiction",2001
3,"Nightfall on Mercer Street",3,"Thriller",2002
4,"The Linen Heart",4,"Romance",2003
5,"Embers of a Kingdom",5,"Historical Fiction",2004
6,"The Glass Sparrow",5,"Fantasy",2005
7,"Signal at Dawn",8,"Science Fiction",2006
8,"Last Train to Willow",1,"Thriller",2007
9,"The Quiet Orchard",2,"Romance",2008
10,"Banners Over Marlowe",5,"Historical Fiction",2009
11,"Children of the Lantern",8,"Fantasy",2010
12,"Atlas of Lost Cities",58,"Science Fiction",2011
13,"The Vanishing Ledger",78,"Thriller",2012
14,"A Promise in Winter",54,"Romance",2013
15,"Courts of the Old Harbor",55,"Historical Fiction",2014
16,"The Paper Crown",36,"Fantasy",2015
17,"Echoes from the Machine",87,"Science Fiction",2016
18,"The Third Witness",48,"Thriller",2017
19,"Letters to the Window",29,"Romance",2018
20,"Harvest of the North",30,"Historical Fiction",2019
21,"Moon over Tallow Street",71,"Fantasy",2020
22,"Children of Tomorrow",32,"Science Fiction",2000
23,"Beneath the Painted Sky",53,"Thriller",2001
24,"A Garden for Two",4,"Romance",2002
25,"Crossroads at Evershade",65,"Historical Fiction",2003
26,"The Hollow Bell",56,"Fantasy",2004
27,"Voyage of the Silent Star",67,"Science Fiction",2005
28,"The House on Blackwater",8,"Thriller",2006
29,"The Maple Bride",59,"Romance",2007
30,"Soldiers of the Sundial",50,"Historical Fiction",2008
31,"The Sparrows Map",51,"Fantasy",2009
32,"After the Signal",52,"Science Fiction",2010
33,"The Invisible Thread",73,"Thriller",2011
34,"Dances at Dellingham",54,"Romance",2012
35,"The Stonewrights Daughter",65,"Historical Fiction",2013
36,"The Lantern and the Lake",26,"Fantasy",2014
37,"Orbit of Ash",67,"Science Fiction",2015
38,"A Narrow Margin",58,"Thriller",2016
39,"The Salted Letter",59,"Romance",2017
40,"Ruins of the Green March",50,"Historical Fiction",2018
41,"The Clockmakers Gift",81,"Fantasy",2019
42,"Blueprints for Another Sun",82,"Science Fiction",2020
43,"The Witness in Room Nine",43,"Thriller",2000
44,"Two Cups of Jasmine",54,"Romance",2001
45,"The Bannered Isles",25,"Historical Fiction",2002
46,"The Nightkeepers Tale",16,"Fantasy",2003
47,"Beyond the Last Relay",67,"Science Fiction",2004
48,"Shuttered Alley",48,"Thriller",2005
49,"A Candle for Seraphine",49,"Romance",2006
50,"Chronicle of the Willow Fort",50,"Historical Fiction",2007
51,"Wildwood and the Wren",51,"Fantasy",2008
52,"The Algorithms Daughters",52,"Science Fiction",2009
53,"Broken Glass on Pine",53,"Thriller",2010
54,"The Harbor of Small Wishes",54,"Romance",2011
55,"Quills Over the Empire",55,"Historical Fiction",2012
56,"The Firefly Law",56,"Fantasy",2013
57,"The Quiet Colony",57,"Science Fiction",2014
58,"Edge of the Red Line",58,"Thriller",2015
59,"A Ribbon and a Ring",59,"Romance",2016
60,"Pages from the Bastion",60,"Historical Fiction",2017
61,"Thorns and the Throne",61,"Fantasy",2018
62,"Clouds Over Meridian",62,"Science Fiction",2019
63,"The Long Interrogation",63,"Thriller",2020
64,"Autumn at Roselake",64,"Romance",2000
65,"The Captains Ledger",65,"Historical Fiction",2001
66,"Of Bones and Butterflies",66,"Fantasy",2002
67,"Fragments of Tomorrow",67,"Science Fiction",2003
68,"The Shadow on Bellamy Road",68,"Thriller",2004
69,"A Song for Henrietta",69,"Romance",2005
70,"The Iron Ferry",70,"Historical Fiction",2006
71,"Orchids of the Northern Sky",71,"Fantasy",2007
72,"The Last Archive",72,"Science Fiction",2008
73,"Call from the Pier",73,"Thriller",2009
74,"The Tea Merchants Daughter",74,"Romance",2010
75,"The Siege of Alderbridge",75,"Historical Fiction",2011
76,"Raven and the Rose",76,"Fantasy",2012
77,"Neon Promises",77,"Science Fiction",2013
78,"The Case of the Silent Phone",78,"Thriller",2014
79,"Beneath a Paper Moon",79,"Romance",2015
80,"Letters from the Citadel",80,"Historical Fiction",2016
81,"The Gilded Orchard",81,"Fantasy",2017
82,"The Signal Thief",82,"Science Fiction",2018
83,"The Lockbox at 27",83,"Thriller",2019
84,"A Table for Spring",84,"Romance",2020
85,"The Guild of Quiet Hands",85,"Historical Fiction",2000
86,"The Ivory Key",86,"Fantasy",2001
87,"Transit to Vega",87,"Science Fiction",2002
88,"Cold Letter, Warm Heart",88,"Thriller",2003
89,"When We Lived on Cedar",89,"Romance",2004
90,"The Admirals Daughter",90,"Historical Fiction",2005
91,"The Fox and the Lantern",91,"Fantasy",2006
92,"The Synthetic Sea",92,"Science Fiction",2007
93,"The Phantom Witness",93,"Thriller",2008
94,"Sunflowers at Dusk",94,"Romance",2009
95,"The Map of Broken Roads",95,"Historical Fiction",2010
96,"The Clocktowers Apprentice",96,"Fantasy",2011
97,"Echo Chambers",97,"Science Fiction",2012
98,"The Night Mail",98,"Thriller",2013
99,"Kisses in November",99,"Romance",2014
100,"Banners in the Mist",100,"Historical Fiction",2015
101,"The Orchard and the Oak",101,"Fantasy",2016
102,"The Last Lightship",102,"Science Fiction",2017
103,"A Man on Hollow Bridge",103,"Thriller",2018
104,"The Archivists Promise",104,"Romance",2019
105,"Tales from the Old Quarter",105,"Historical Fiction",2020
106,"The Mist Weaver",106,"Fantasy",2000
107,"The Zero Hour Pact",107,"Science Fiction",2001
108,"The Quiet Suspect",108,"Thriller",2002
109,"Letters to the Lighthouse",109,"Romance",2003
110,"The Bronze Gates",110,"Historical Fiction",2004
111,"The Willow Prophet",111,"Fantasy",2005
112,"The Orbital Garden",112,"Science Fiction",2006
113,"The Night Courier",113,"Thriller",2007
114,"Tea and Other Promises",114,"Romance",2008
115,"The Governors Ledger",115,"Historical Fiction",2009
116,"The Sparrow and Snow",116,"Fantasy",2010
117,"Signal in the Rust",117,"Science Fiction",2011
118,"The Window on Hargrove Lane",118,"Thriller",2012
119,"The House of Small Things",119,"Romance",2013
120,"The Crown Beneath the Sea",120,"Historical Fiction",2014
121,"The Mariners Bequest",121,"Fantasy",2015
122,"After the Circuit",122,"Science Fiction",2016
123,"The Unasked Questions",123,"Thriller",2017
124,"Petals on the Wind",124,"Romance",2018
125,"The Year of Ashes",125,"Historical Fiction",2019
126,"The Amber Compass",126,"Fantasy",2020
127,"Silicon and Snow",127,"Science Fiction",2000
128,"The Cornered Witness",128,"Thriller",2001
129,"A House for Two Seasons",129,"Romance",2002
130,"The Garrison of Grey Hollow",130,"Historical Fiction",2003
131,"The Blue Menagerie",131,"Fantasy",2004
132,"The Last Transmission",132,"Science Fiction",2005
